,Equal Weight,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2024-12-20,21383.776916134764,23837.144557129574,20982.054219739606,29038.589364586704,19965.144298400013
2024-12-27,21158.522836669614,23574.724829717758,20748.623529950328,28808.375182215532,19410.684918349612
2025-01-03,20913.35258902052,23425.89169693343,20490.734370437694,28328.506097499292,19571.70832511468
2025-01-10,20523.440000704493,22882.9310379497,20004.655991625557,27829.094932077776,19643.0933626179
2025-01-17,20447.549968948577,22797.2792266061,20289.451312819965,28552.298195726653,20244.3650361306
2025-01-24,21064.808793961813,23321.915466815284,20669.968625725516,29128.805337785387,20087.987407344746
2025-01-31,21200.37001682406,23369.93895345371,21240.693311889252,29866.021245885957,20130.485764112054
2025-02-07,21572.61195323864,23870.387364294515,21870.73410471013,30696.619576278077,20243.70135356214
2025-02-14,21822.417376194888,23950.039971801394,21822.915402109258,30422.464182211985,20265.283403793015
2025-02-21,21864.63670247387,24040.378478176182,21891.356580337106,30669.332020091122,19424.298655506995
2025-02-28,22404.95320488541,24482.59238395959,22301.532903889165,30943.93172880961,19014.59627591643
2025-03-07,21636.735633095024,23810.576506715795,21491.941830882774,29747.30195751397,18307.74342361692
2025-03-14,22014.761324953506,24180.790230663188,21846.072433375957,30181.886561779567,18774.887323395084
2025-03-21,22498.235704000428,24639.25526975422,22060.92640534291,30620.339081301703,18884.312502151388
2025-03-28,22073.61620707901,24600.91492573128,21865.343194189754,30513.33413399924,17872.63148283389
2025-04-04,21400.149762700927,23845.33760434009,21098.868196455944,29462.335963203263,17469.023852792816
2025-04-11,21893.30095965245,24221.227122666627,21619.938217332092,29927.70876288225,17529.958981531774
2025-04-18,22458.36480145271,24688.356586489263,22390.71519539339,30842.244009901668,18205.307523089334
2025-04-25,22714.41690087504,24917.276698250713,22859.414823948493,31331.374671356556,18597.58926582083
2025-05-02,23030.04208208839,25232.06290330354,23386.26166007795,31989.101279563136,18817.045594374205
2025-05-09,23128.811087977567,25642.408781545775,23837.01895465081,32622.617834559245,19662.888416616315
2025-05-16,23139.163549148874,25590.592006054332,23868.32454698201,32780.90755678498,19417.46190060147
2025-05-23,23297.88685258547,25630.455995811797,23982.051968148888,33004.18198688535,19649.235518065143
2025-05-30,23355.556080470054,25739.423690134205,24283.154534770736,33371.16745282863,19749.136233626257
2025-06-06,23596.024835798642,26008.372502340746,24468.87108394557,33449.61259930907,20105.45751122757
2025-06-13,23451.362024855705,25719.63446614059,24235.922550131716,33097.98920216694,19895.327777774444
2025-06-20,23692.446408306896,25899.282663940794,24375.78575628482,33242.92011261934,20436.099220131862
2025-06-27,23991.92477154837,26469.25764305332,24555.305484541906,33697.907558016006,20885.989434256062
2025-07-04,23930.302993524285,26395.141767689103,24417.732953002993,33620.510119681545,20902.022933324537
2025-07-11,23831.22690039468,26276.89646206116,24183.127153068068,33302.429908614795,20976.165757401042
2025-07-18,24121.04073356158,26453.17472145044,24297.59062463667,33090.012202858954,21189.25526777438
2025-07-25,23478.3184176217,26009.372888456994,23991.173878985763,32714.00514629665,21111.10149252327
2025-08-01,24165.446808804772,26627.55179527999,24286.631715868494,32846.19794786582,21116.777833496988
