,Equal Weight,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2021-08-13,14330.253480245485,14550.334982523338,14323.995955405937,14662.744729774902,13882.861469455063
2021-08-20,14456.811257714824,14602.829698598842,14377.433244590293,14700.563181979005,14084.85696919258
2021-08-27,14791.229154691984,14867.74294821068,14598.865682372803,14906.084200063166,14303.58365914585
2021-09-03,14722.920986598998,14766.708421645068,14519.36150389637,14834.97984695991,14170.70698888664
2021-09-10,14555.391626192108,14631.368519241938,14465.521169847421,14750.410304964755,14113.582882101355
2021-09-17,14351.888679522905,14380.929250059666,14189.448031381859,14497.144737881032,14032.45799373709
2021-09-24,14087.697718908103,14148.490195483417,13923.092757948334,14299.968393244773,13587.910218176397
2021-10-01,14232.749743353468,14342.99152246807,14090.144619728462,14454.943502065553,13889.340619001508
2021-10-08,14337.038472741826,14471.15351669829,14178.751956686428,14503.51687278699,14010.929532781929
2021-10-15,14419.669597749511,14517.945438636105,14341.339161060168,14629.626701403682,14362.073261898859
2021-10-22,14169.13063467816,14255.875019725232,13836.561066884691,14176.869202781689,14511.838798511977
2021-10-29,14230.364631467924,14356.822503199828,14098.488887949825,14456.286257792397,14783.826014584145
2021-11-05,14285.255805427585,14388.642816533687,14070.200771942744,14460.430637400406,14684.40244968949
2021-11-12,14321.191677558529,14437.97353876974,14071.043701675204,14431.607931926637,14873.116053553857
2021-11-19,14090.064545104042,14239.818207359454,13876.755549446287,14175.242732158238,14863.932706709842
2021-11-26,13711.592519677912,13808.417119211159,13409.76826733252,13722.908998489389,14482.709935472361
2021-12-03,14089.201396214097,14217.411490640901,13801.965664526742,14048.37427455905,14766.09517826373
2021-12-10,14292.227178011231,14513.047216486495,14068.079976292829,14245.0410727639,14769.260037219847
2021-12-17,14468.677282615361,14636.471127982993,14135.622199948646,14352.348159079975,14953.010449702686
2021-12-24,14633.092292859272,14876.840380084679,14385.373656268675,14605.415275246398,15129.6788332873
2021-12-31,14389.69331525123,14662.598486821757,13974.889857427159,14030.774151095555,14868.490886834528
2022-01-07,14309.191259223466,14488.590935382928,13756.256561196244,13793.81302766665,14760.140585281491
2022-01-14,14246.605569751659,14248.707197795045,13463.011689022933,13383.527112643062,14195.193165636034
2022-01-21,13812.081543036395,13788.237700136002,13031.03814140402,13004.590053504597,13702.372788849834
