,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2022-07-08,24248.12554290152,22594.61952530425,22609.28626615261,18692.99319353211,22320.45351976181,20916.751304881225,21565.044323345763,24834.489985850156,25397.73307027403,24794.463649801444,21247.2504075826
2022-07-15,24032.653786273284,22161.047411772637,22445.557522245515,18722.275952395226,22152.850184324805,20827.664637668782,21446.99652189756,24713.6094717156,25161.991748330795,24519.015452224205,21053.73154791075
2022-07-22,24295.549683015688,22641.384473047056,22662.59218140001,18871.848357975632,22420.001019580064,21174.5284860211,21683.067374120496,24843.931015556947,25400.86947363749,24828.85859242241,21598.212664831557
2022-07-29,24679.8406553212,23281.256058374467,23135.590986770116,19287.118604119467,22785.32128799464,21159.525496326012,22147.417126351815,25344.024535726567,25780.407248281772,25383.21326461283,22522.075717111675
2022-08-05,24665.587612846346,23301.743887298057,23081.525731235393,18994.09068016488,22705.75020745297,20877.906981904503,21986.14237688313,25253.51668349728,25504.233876582628,25132.19791390964,22602.982394248873
2022-08-12,25039.987461701166,23770.0398110474,23423.235718422864,19247.785795108146,23029.92372029489,21155.22347086828,22275.07047910589,25741.382138668447,26200.408842325596,25779.49443181168,23348.085530418783
2022-08-19,25005.674294350127,23692.716449548014,23415.781377336316,19421.989792438217,23038.3500247547,21295.50342319568,22299.11644516976,25708.31438015134,26035.546636046765,25604.01111419059,23076.942300996143
2022-08-26,24370.740147930475,22704.711607829056,22800.66697801032,18887.786157358103,22440.140308030306,20791.174565669935,21700.92023494781,25044.503199581384,25332.17765642394,24768.869180799957,22156.900100906856
2022-09-02,23802.620195007188,21927.97895990128,22264.12395665543,18391.557566552838,21886.022653634933,20175.683490638196,21137.00882009341,24437.60301279913,24708.114731353504,24214.771411658632,21442.40778102215
2022-09-09,24260.174560522762,22649.077526930378,22687.654783387527,18673.14751638704,22273.19662976963,20469.302301291347,21490.681428176562,25134.523633769455,25424.296613064744,24874.568310336093,22227.423071030735
2022-09-16,23392.79077985729,21513.54868488273,21889.69746392023,18133.09939143494,21497.064188021588,19842.76578108226,20747.90327215406,24193.674971411296,24354.064734574968,23787.0721117321,21163.821721606408
2022-09-23,22421.192591654937,20797.752129469776,21042.847884236387,17608.290854922605,20653.54889751311,19048.15883422569,19977.2874012998,23227.393840330667,23260.044388008617,22985.838428992804,20197.1865961831
2022-09-30,21828.96249548825,20469.990636434708,20469.537410951158,17157.602224947193,20110.584494632432,18576.55248217295,19462.849060964363,22548.952508352915,22674.989235609817,22216.156141208587,19606.0069569078
2022-10-07,21990.397099637263,20780.97731463203,20603.341254560164,17297.436134881085,20274.675733544987,18829.51949546202,19642.483627083202,22744.423864416312,23044.87990182307,22359.218912531385,19913.94898801545
2022-10-14,21903.761163425475,20427.531505202463,20579.537823337956,17442.36169045526,20212.809935818834,18762.061795897956,19600.368536974973,22882.92898762815,23137.556288145533,22603.591436457184,19630.70785994712
2022-10-21,22273.925246504896,21120.71410748967,20939.827015880535,17692.518425902377,20555.025132488972,18990.942319976024,19911.08748696671,23267.828239464056,23295.682352451233,23048.54634865013,20545.197416709794
2022-10-28,23178.856039306593,21680.344059497762,21759.511755075488,18332.999630627084,21357.26442515663,19843.658796889842,20615.343166028117,24360.147135007843,24304.64199003691,23805.990105749708,21353.741482830428
2022-11-04,23076.22484493726,20902.102970882795,21639.253064261156,18304.150274593878,21272.051472793868,19863.16743343041,20499.164567509426,23990.12552483997,23975.546797751034,23374.168327990978,20658.272466184197
2022-11-11,23827.74217548929,22197.146870446948,22282.082968620925,18699.334586190267,21941.271524471606,20496.231767113863,21084.781139565028,24587.070427591923,24761.11882721494,24173.076688849043,21874.660384582698
2022-11-18,24010.62156121836,22049.922871628194,22469.226697488586,18874.078337067942,22097.125885704347,20601.195390693974,21215.15728332477,24823.561884848874,24929.854956939278,24325.306565576055,21738.529985638033
2022-11-25,24417.391419975156,22355.797575140485,22886.4509257398,19186.289615487436,22475.88858571586,20876.30053225901,21627.26666986663,25334.329515159512,25446.884259169437,24763.636068679803,22084.34262818851
2022-12-02,25153.701865223993,22744.11383599002,23575.51637195624,19574.323403229937,23124.1995872001,21327.157778163826,22229.409603431737,26078.65467865252,26289.96774663622,25348.758423481253,22335.742734683106
2022-12-09,24438.020808196958,22142.15099760507,22898.31414836037,19155.643148333238,22494.25333020227,20833.018553105117,21593.542988680994,25193.598941052278,25299.996225470433,24488.33559626237,21587.575524969092
2022-12-16,23941.582956326474,21525.66648844703,22466.766602968328,18655.133167239375,22022.51861976573,20176.73376036329,21126.85156527754,24701.609245309446,24714.433705539992,23918.940864155225,21134.72622256501
2022-12-23,24101.874336637557,21445.269153615598,22619.130119691123,18826.50102443881,22190.88497518424,20407.695527912918,21292.452805328867,24812.095688083136,24820.17801613181,23973.302377629796,21114.87398271581
2022-12-30,24053.261232653666,21437.32449068023,22542.56967851095,18702.936185349925,22131.68185685325,20375.630797883816,21221.294125809032,24702.666050402288,24715.229074980343,23858.11587876152,21088.402569633203
2023-01-06,24276.23216453478,21235.029916645428,22714.33101674641,19050.893102289272,22346.603935967178,20786.397566939882,21418.98083102395,24870.791805912788,24771.466745272595,24042.83876616266,21399.961298692106
2023-01-13,24452.15254355017,21598.134299617872,22853.833755048287,19018.742964665907,22441.959358650493,20741.299913837225,21480.368683273602,25153.184916947186,25213.114135970725,24056.378613171215,21974.55692590189
2023-01-20,24542.124845115104,21664.582447792403,22889.71803979935,19092.610000692297,22521.467139557382,20937.075441154837,21537.54945845406,25219.894728517516,25210.504770652817,24051.860627233018,21830.0826023894
2023-01-27,24856.465540269975,22013.141382275913,23084.527974268753,19146.611723147103,22744.3765593074,21213.16418008134,21729.00243496608,25577.91839842764,25612.040007867174,24170.792900448072,22370.482394468872
2023-02-03,25351.32518428737,22396.616452109545,23488.211977907024,19158.278048870663,23127.37954801207,21447.77854133378,21985.37706189667,26196.1323628281,26727.43163258831,24593.150653839286,22738.289136433843
2023-02-10,24880.219781717857,22313.687341688885,23108.37850055481,18981.3800315533,22728.870747748293,21086.735443928254,21678.268194035856,25744.2489052609,26234.539813997508,24344.180146265116,22500.625442352633
2023-02-17,25015.0645809259,22540.47750624888,23275.437521681866,19156.424171735776,22879.49367212595,21159.075713557035,21821.002875635084,25834.938883892708,26179.673988946,24454.451726408028,22457.61049606236
2023-02-24,24324.119420769894,21905.243537913837,22664.136170559443,18488.53458132717,22221.901490722965,20296.526956600905,21154.760533346416,25209.696508892786,25735.8355631349,24030.37018682425,21857.653984435292
2023-03-03,24822.01901901475,21930.680606118833,23056.55900903316,18638.445843921556,22618.193001584383,20642.32952577654,21489.144108114648,25660.685572218157,26025.23277030335,24046.673863061693,22288.324392639053
2023-03-10,24140.803746344736,21624.62026192612,22449.51090675556,18222.412976243566,22023.89412881919,20113.354930296835,20915.271069977756,24905.812600197653,25206.42528974129,23498.955074287103,21280.304034941462
2023-03-17,24759.825757430892,22880.17583858033,22995.264178420817,18555.657736117842,22569.920164345287,20564.916171119556,21453.171356228188,25522.53740661335,25779.814328883338,23794.81975134803,21587.36433092815
2023-03-24,25321.008275530658,23142.808382946412,23472.436531051608,18922.812028928325,23037.1136994314,20991.57946170307,21874.26052761771,26039.71661205366,26201.06709305968,23990.380856661403,21906.200454648082
2023-03-31,25998.993714131415,23565.07287988487,24107.63258062738,19305.11143957299,23642.628244758598,21444.17133148109,22456.49242963552,26734.748305935493,27099.006100844195,24784.333846616584,22661.224430891572
2023-04-07,25998.870011292885,23631.611315607883,24171.316918824858,19466.67481342411,23689.844091689985,21405.282149178645,22517.763301163657,26737.794204682607,27114.554668726207,24766.4904851423,22650.14906339414
2023-04-14,26222.65177916384,23728.20103642594,24342.09488490304,19512.158616624576,23866.945917366018,21591.63074091633,22656.84065296744,27057.081356861203,27607.85293248629,25160.8368309677,22831.159955990795
