,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,SPY
2022-04-29,16276.79476678663,12511.868093533181,14514.17981406749,12010.380906205808,14550.565620261345,15903.012722415364,12951.071749647894,13189.394599891171
2022-05-06,15746.71380633067,12012.439135972127,14082.214271438199,11754.305448705178,14108.800431674035,15448.297695783913,12611.483819364737,12505.079129718444
2022-05-13,15880.195030253737,12245.800326854816,14072.107325299992,11512.486560481962,14145.005335375334,15521.678966767628,12530.136722000978,12413.282761546103
2022-05-20,16430.75547880578,12656.343645288134,14601.219694706799,11939.754578457401,14622.511813435665,15908.843714586184,12989.206175984154,12918.474016518314
2022-05-27,16621.62717775089,12860.45184490601,14785.750768368283,11945.834577345757,14753.589581239412,15944.269582467887,13127.858614335177,13303.497504079522
2022-06-03,16123.488780656273,12424.116938112502,14354.988813424257,11697.354110121234,14325.569050359842,15583.549054010666,12791.947066531895,12795.1218094543
2022-06-10,15155.401094432307,11459.560056552633,13562.314600284499,11197.631635547334,13533.94315394255,14727.44330133744,12123.81218420563,11686.260760881185
2022-06-17,15676.590087141241,12016.719371247122,14012.781969932576,11576.03974625633,13961.750486265239,15207.585177197221,12528.346058311547,12101.984720048631
2022-06-24,15698.502597392708,12165.824661638968,14013.540420048592,11683.652868230505,14004.58848938231,15392.497489734893,12551.752141852368,12076.056785669938
2022-07-01,16045.298925287994,12891.78474255463,14275.87777204235,11802.425351533568,14243.18521060509,15620.465905681063,12804.503745229982,12451.862917808314
2022-07-08,15685.28227147513,12508.359056060859,13983.318013592032,11638.278846241605,13943.14679910305,15255.542624688433,12569.771872163848,12097.18229649425
2022-07-15,16144.72372650682,13072.633553457968,14334.916817381254,11770.939155725986,14294.626823762428,15598.860721444016,12840.229167841411,12765.567323897953
2022-07-22,16481.96630582705,13548.828633282772,14667.218060614228,12092.791386934072,14607.640186870856,15900.31362413484,13178.815080871642,12998.60544215588
2022-07-29,16670.893846386865,14102.859409322577,14751.618541801481,11878.101401749855,14620.762477372966,15759.374806219128,13214.91929043893,13257.890969320799
